STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,geometry,pop_23,white_23,B19001_001E_x,hinc_23,mhval_23,mhval_23_se,mrent_23,mrent_23_se,total_25_23,total_25_col_bd_23,total_25_col_md_23,total_25_col_pd_23,state_x,county_x,tract_x,total_25_col_phd_23,tot_units_built_23,units_40_49_built_23,units_39_early_built_23,ohu_23,rhu_23,mmhcosts_23,iinc_23,B19001_001E_y,I_10000_23,I_15000_23,I_20000_23,I_25000_23,I_30000_23,I_35000_23,I_40000_23,I_45000_23,I_50000_23,I_60000_23,I_75000_23,I_100000_23,I_125000_23,I_150000_23,I_200000_23,I_201000_23,mov_wc_w_income_23,mov_wc_9000_23,mov_wc_15000_23,mov_wc_25000_23,mov_wc_35000_23,mov_wc_50000_23,mov_wc_65000_23,mov_wc_75000_23,mov_wc_76000_more_23,mov_oc_w_income_23,mov_oc_9000_23,mov_oc_15000_23,mov_oc_25000_23,mov_oc_35000_23,mov_oc_50000_23,mov_oc_65000_23,mov_oc_75000_23,mov_oc_76000_more_23,mov_os_w_income_23,mov_os_9000_23,mov_os_15000_23,mov_os_25000_23,mov_os_35000_23,mov_os_50000_23,mov_os_65000_23,mov_os_75000_23,mov_os_76000_more_23,mov_fa_w_income_23,mov_fa_9000_23,mov_fa_15000_23,mov_fa_25000_23,mov_fa_35000_23,mov_fa_50000_23,mov_fa_65000_23,mov_fa_75000_23,mov_fa_76000_more_23,FIPS,mhval_19,mhval_19_se,mrent_19,mrent_19_se,mov_wc_w_income_19,mov_wc_9000_19,mov_wc_15000_19,mov_wc_25000_19,mov_wc_35000_19,mov_wc_50000_19,mov_wc_65000_19,mov_wc_75000_19,state_y,county_y,tract_y,mov_wc_76000_more_19,mov_oc_w_income_19,mov_oc_9000_19,mov_oc_15000_19,mov_oc_25000_19,mov_oc_35000_19,mov_oc_50000_19,mov_oc_65000_19,mov_oc_75000_19,mov_oc_76000_more_19,mov_os_w_income_19,mov_os_9000_19,mov_os_15000_19,mov_os_25000_19,mov_os_35000_19,mov_os_50000_19,mov_os_65000_19,mov_os_75000_19,mov_os_76000_more_19,mov_fa_w_income_19,mov_fa_9000_19,mov_fa_15000_19,mov_fa_25000_19,mov_fa_35000_19,mov_fa_50000_19,mov_fa_65000_19,mov_fa_75000_19,mov_fa_76000_more_19,iinc_19,pct_renter,pct_nonwhite,pct_college,rent_growth,val_growth,is_low_income,high_renter,low_education,high_market_pressure,at_risk_displacement
06,001,450200,1400000US06001450200,06001450200,4502,Census Tract 4502,CA,Alameda County,California,CT,1612600,0,"POLYGON ((-121.922362 37.727684, -121.917374 37.728897, -121.911147 37.730318, -121.910459 37.730393, -121.910471 37.728231, -121.909471 37.724803, -121.91017 37.719242, -121.910233 37.710437, -121.914263 37.714027, -121.916421 37.716369, -121.925823 37.726848, -121.922362 37.727684))",5809,1946,2624,118077.0,958300.0,131872.0,2882.0,119.0,4305,1713,802,129,6,1,450200,64,2647,8,17,921,1703,2875.0,71667.0,2624,73,44,15,14,0,105,0,138,20,89,330,244,327,209,402,614,776,39,0,0,91,36,71,235,304,268,0,0,14,18,11,21,38,166,186,83,0,21,0,0,0,0,82,0,0,0,0,0,0,0,0,0,06001450200,640200.0,46350.0,2616.0,94.0,520,70,13,15,0,35,85,45,6,1,450200,257,271,0,0,28,58,0,57,0,128,61,0,0,0,0,30,0,0,31,0,0,0,0,0,0,0,0,0,74840.0,0.6490091463414634,0.6650025822000345,0.6290360046457607,0.10168195718654434,0.4968759762574196,True,True,False,True,At Risk
06,001,444100,1400000US06001444100,06001444100,4441,Census Tract 4441,CA,Alameda County,California,CT,2955571,60526,"POLYGON ((-122.045052 37.556261, -122.042502 37.558503, -122.038506 37.563408, -122.031219 37.556592, -122.028684 37.554125, -122.022895 37.546533, -122.026235 37.54225, -122.028316 37.543662, -122.028878 37.544635, -122.029328 37.544359, -122.034038 37.540445, -122.0363 37.543747, -122.040858 37.545809, -122.043128 37.547301, -122.05208 37.551742, -122.045052 37.556261))",7198,2273,2647,163367.0,1197100.0,61936.0,,,5736,1455,861,168,6,1,444100,116,2832,19,23,2051,596,2765.0,69388.0,2647,84,77,15,16,16,34,73,21,142,90,79,138,255,166,437,1004,178,41,0,0,0,16,0,14,107,117,0,0,0,0,58,0,0,59,88,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,06001444100,784800.0,56225.0,,,286,38,57,0,0,0,45,75,6,1,444100,71,164,3,14,0,54,36,0,0,57,41,0,0,0,0,0,14,0,27,0,0,0,0,0,0,0,0,0,49521.0,0.22516055912353608,0.6842178382884134,0.45327754532775455,,0.5253567787971458,False,False,True,True,Stable / Higher Income
06,001,406201,1400000US06001406201,06001406201,4062.01,Census Tract 4062.01,CA,Alameda County,California,CT,408064,0,"POLYGON ((-122.235514 37.783804, -122.234293 37.784972, -122.234113 37.785138, -122.234054 37.785193, -122.233724 37.785426, -122.232503 37.786558, -122.232013 37.78758, -122.23196 37.788044, -122.230914 37.789441, -122.230663 37.789287, -122.228901 37.788213, -122.225307 37.786098, -122.226792 37.784511, -122.227537 37.78495, -122.229935 37.782402, -122.231481 37.780769, -122.2359 37.78341, -122.235514 37.783804))",5191,293,1508,66518.0,763300.0,125437.0,1531.0,162.0,3315,427,126,31,6,1,406201,10,1609,77,668,244,1264,1570.0,27347.0,1508,115,32,98,69,41,98,20,63,82,11,222,310,106,85,96,60,431,96,15,100,107,19,50,17,27,38,7,0,0,15,0,0,0,16,30,0,0,0,0,0,0,0,30,53,32,0,0,0,10,0,11,0,06001406201,531500.0,151645.0,1091.0,76.0,379,94,37,1,130,79,20,18,6,1,406201,0,135,62,0,23,29,21,0,0,0,44,0,0,0,12,0,0,8,24,18,0,0,0,0,9,0,0,9,24005.0,0.8381962864721485,0.9435561548834521,0.17918552036199095,0.4032997250229148,0.4361241768579492,True,True,True,True,At Risk
06,001,406202,1400000US06001406202,06001406202,4062.02,Census Tract 4062.02,CA,Alameda County,California,CT,392183,0,"POLYGON ((-122.229935 37.782402, -122.227537 37.78495, -122.226792 37.784511, -122.225307 37.786098, -122.224369 37.785646, -122.222249 37.784938, -122.222729 37.783749, -122.2239 37.781409, -122.224719 37.779772, -122.225803 37.777643, -122.227853 37.778614, -122.229093 37.779343, -122.231481 37.780769, -122.229935 37.782402))",4958,223,1379,51958.0,731100.0,140134.0,1450.0,203.0,3269,369,91,24,6,1,406202,10,1467,76,214,164,1215,1448.0,28814.0,1379,70,98,21,79,29,109,56,51,135,78,197,147,80,56,87,86,279,64,11,49,12,94,0,12,37,57,23,0,0,24,0,10,0,0,35,2,0,0,12,0,0,21,0,0,0,0,0,0,0,0,0,0,06001406202,538000.0,106779.0,1206.0,100.0,352,109,77,44,19,35,27,29,6,1,406202,12,97,11,0,16,21,15,15,19,0,27,0,0,27,0,0,0,0,0,8,8,0,0,0,0,0,0,0,23889.0,0.8810732414793329,0.95502218636547,0.15111654940348732,0.2023217247097844,0.35892193308550185,True,True,True,True,At Risk
06,001,428000,1400000US06001428000,06001428000,4280,Census Tract 4280,CA,Alameda County,California,CT,525761,0,"POLYGON ((-122.251144 37.77086, -122.248263 37.769616, -122.245398 37.768371, -122.2412 37.766679, -122.240792 37.766583, -122.24284 37.764143, -122.244241 37.762486, -122.248243 37.764236, -122.251101 37.765482, -122.253994 37.766746, -122.251144 37.77086))",2969,744,1218,99956.0,964300.0,309308.0,2214.0,208.0,2091,699,350,126,6,1,428000,15,1352,42,508,238,980,2228.0,60720.0,1218,5,67,0,20,0,20,3,123,18,75,69,210,75,229,186,118,275,0,0,91,9,7,11,15,142,42,12,0,20,0,0,0,0,10,108,9,11,44,0,0,7,0,37,0,0,0,0,0,0,0,0,0,06001428000,783700.0,122206.0,1625.0,89.0,206,0,0,20,5,36,53,45,6,1,428000,47,102,22,0,0,0,0,26,25,29,58,9,0,14,0,0,0,24,11,56,34,0,0,14,0,0,0,8,51261.0,0.8045977011494253,0.7494105759514988,0.5691056910569106,0.36246153846153845,0.23044532346561183,True,True,False,True,At Risk
06,001,409700,1400000US06001409700,06001409700,4097,Census Tract 4097,CA,Alameda County,California,CT,811103,0,"POLYGON ((-122.170547 37.759996, -122.168729 37.760898, -122.164942 37.762685, -122.163427 37.760987, -122.161979 37.757225, -122.161409 37.755639, -122.1604 37.752903, -122.164044 37.75119, -122.167145 37.749709, -122.168291 37.75126, -122.167868 37.752648, -122.167834 37.753157, -122.169531 37.755422, -122.169977 37.756045, -122.172296 37.75915, -122.170547 37.759996))",5061,306,1693,40870.0,557600.0,67277.0,1327.0,215.0,2942,197,155,0,6,1,409700,0,1787,291,403,393,1300,1416.0,26530.0,1693,166,103,112,170,61,120,87,114,154,100,89,163,125,30,49,50,105,0,0,65,11,24,0,0,5,32,0,0,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06001409700,360600.0,29124.0,1620.0,99.0,137,0,28,28,29,52,0,0,6,1,409700,0,32,5,0,9,11,0,0,7,0,5,5,0,0,0,0,0,0,0,55,13,0,0,25,0,0,17,0,25956.0,0.7678676904902539,0.939537640782454,0.11964649898028552,-0.1808641975308642,0.5463117027176927,True,True,True,True,At Risk
06,001,432100,1400000US06001432100,06001432100,4321,Census Tract 4321,CA,Alameda County,California,CT,1105772,0,"POLYGON ((-122.155119 37.739082, -122.148725 37.740859, -122.14767 37.741138, -122.146051 37.742802, -122.144044 37.740307, -122.141134 37.737767, -122.140772 37.737282, -122.140243 37.736051, -122.139886 37.73447, -122.138977 37.730932, -122.140541 37.731462, -122.147977 37.731344, -122.148234 37.729729, -122.148736 37.729135, -122.150195 37.73237, -122.151063 37.733566, -122.152439 37.735476, -122.155119 37.739082))",3828,1232,1306,183735.0,1005400.0,71110.0,2583.0,148.0,2620,705,532,152,6,1,432100,78,1410,221,751,876,430,2842.0,83080.0,1306,23,0,18,19,49,7,11,9,91,13,33,79,49,138,191,576,216,3,0,16,0,9,5,0,183,172,104,0,0,35,0,12,0,21,31,12,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,06001432100,678000.0,44922.0,1754.0,165.0,102,0,0,18,51,9,10,0,6,1,432100,14,86,11,0,22,0,0,0,0,53,48,33,0,10,0,5,0,0,0,8,0,0,8,0,0,0,0,0,55345.0,0.32924961715160794,0.6781609195402298,0.5599236641221375,0.47263397947548463,0.48289085545722715,False,False,True,True,Stable / Higher Income
06,001,409200,1400000US06001409200,06001409200,4092,Census Tract 4092,CA,Alameda County,California,CT,706471,0,"POLYGON ((-122.184167 37.726529, -122.179316 37.73413, -122.179782 37.736267, -122.177295 37.73403, -122.17404 37.73119, -122.17043 37.727836, -122.170401 37.727756, -122.174341 37.72665, -122.175802 37.725231, -122.180226 37.725738, -122.181916 37.725372, -122.183312 37.725566, -122.184167 37.726529))",3832,77,1046,77339.0,590000.0,29557.0,2003.0,289.0,2484,350,47,20,6,1,409200,16,1057,462,44,605,441,2047.0,40714.0,1046,0,58,18,0,0,17,32,0,124,79,137,225,146,44,114,52,143,12,0,26,0,8,38,40,19,13,0,0,7,0,0,0,0,6,17,0,0,17,0,0,0,0,0,13,0,0,0,0,13,0,0,0,06001409200,404000.0,45376.0,1564.0,133.0,117,23,14,21,6,17,36,0,6,1,409200,0,100,0,26,18,0,17,28,11,0,13,0,0,13,0,0,0,0,0,4,0,0,0,0,4,0,0,0,27315.0,0.4216061185468451,0.9799060542797495,0.17431561996779388,0.28069053708439895,0.4603960396039604,True,False,True,True,At Risk
06,001,450741,1400000US06001450741,06001450741,4507.41,Census Tract 4507.41,CA,Alameda County,California,CT,2182371,0,"POLYGON ((-121.877413 37.656446, -121.871216 37.661995, -121.86999 37.663137, -121.868081 37.664936, -121.864956 37.66782, -121.861915 37.669353, -121.857871 37.670438, -121.856063 37.66558, -121.855869 37.664898, -121.855905 37.6648, -121.856732 37.662793, -121.859189 37.656278, -121.859951 37.654809, -121.862637 37.653258, -121.863984 37.651975, -121.864569 37.65178, -121.869173 37.652354, -121.876834 37.655796, -121.877598 37.656324, -121.877413 37.656446))",5469,2448,1941,154609.0,1630000.0,182632.0,2245.0,977.0,3767,1053,770,161,6,1,450741,203,2043,168,102,1044,897,2990.0,49883.0,1941,60,190,21,96,34,49,35,21,34,16,27,85,149,119,253,752,130,7,0,5,0,6,31,0,81,53,10,5,0,0,0,0,0,38,55,0,0,34,0,0,0,0,21,31,26,0,0,0,0,0,5,0,06001450741,1002400.0,77692.0,2227.0,118.0,264,71,0,51,10,53,9,18,6,1,450741,52,135,16,11,24,0,11,0,0,73,27,0,0,0,0,16,0,11,0,36,0,0,11,0,0,7,0,18,45176.0,0.46213292117465227,0.5523861766319254,0.5805680913193523,0.008082622361921869,0.62609736632083,False,True,False,True,Stable / Higher Income
06,001,450300,1400000US06001450300,06001450300,4503,Census Tract 4503,CA,Alameda County,California,CT,3133640,0,"POLYGON ((-121.928642 37.726171, -121.925823 37.726848, -121.916421 37.716369, -121.914263 37.714027, -121.910233 37.710437, -121.903881 37.705807, -121.898803 37.702011, -121.898655 37.70188, -121.907013 37.701893, -121.916445 37.702018, -121.922584 37.701134, -121.923248 37.702715, -121.923303 37.702837, -121.925083 37.705506, -121.923506 37.705893, -121.927053 37.710193, -121.927599 37.712295, -121.926721 37.718558, -121.926664 37.722133, -121.929372 37.726078, -121.928642 37.726171))",4967,2291,1849,147875.0,1041300.0,41073.0,3362.0,195.0,3677,1345,563,64,6,1,450300,47,2007,30,0,1070,779,2986.0,71469.0,1849,10,0,0,0,0,21,11,29,0,95,150,188,325,104,348,568,314,27,0,24,0,23,10,24,206,147,32,0,0,0,0,8,0,107,73,0,0,0,9,15,11,0,38,9,0,0,0,9,0,0,0,0,06001450300,722800.0,34701.0,2648.0,209.0,107,1,0,0,0,15,0,7,6,1,450300,84,262,38,12,0,41,12,20,0,139,91,7,0,19,7,8,6,0,44,18,0,0,7,0,0,0,0,11,57861.0,0.42130881557598704,0.5387557882021341,0.5490889311939081,0.26963746223564955,0.44064748201438847,False,False,True,True,Stable / Higher Income
