agency_name,stop_name,number_of_routes_served,route_id(s)_served,route_type,number_of_arrivals,number_of_hours_in_service,x,y,route_type_defined,geometry,county_name,total_arrivals,hqta_type,SB79_tier,route_type_defined	
Peninsula Corridor Joint Powers Board,22nd Street Caltrain Station,3,"Express, Limited, Local Weekday",2,52,20,-122.39188,37.757599,Rail,POINT (-122.39188 37.757599),San Francisco,104,,Tier 1,
Peninsula Corridor Joint Powers Board,Bayshore Caltrain Station,1,Local Weekday,2,37,20,-122.401586,37.7095370000001,Rail,POINT (-122.401586 37.7095370000001),San Francisco,75,,Tier 1,
Peninsula Corridor Joint Powers Board,Belmont Caltrain Station,1,Local Weekday,2,37,20,-122.275738,37.5208900000001,Rail,POINT (-122.275738 37.5208900000001),San Mateo,75,,Tier 1,
Peninsula Corridor Joint Powers Board,Blossom Hill Caltrain Station,1,South County,2,4,3,-121.797643,37.252422,Rail,POINT (-121.797643 37.252422),Santa Clara,8,,,
Peninsula Corridor Joint Powers Board,Burlingame Caltrain Station,1,Local Weekday,2,37,20,-122.3449,37.5801970000001,Rail,POINT (-122.3449 37.5801970000001),San Mateo,75,,Tier 1,
Peninsula Corridor Joint Powers Board,California Avenue Caltrain Station,2,"Limited, Local Weekday",2,45,19,-122.141927,37.4293650000001,Rail,POINT (-122.141927 37.4293650000001),Santa Clara,90,,Tier 1,
Peninsula Corridor Joint Powers Board,Capitol Caltrain Station,1,South County,2,4,3,-121.841954999,37.2841020000001,Rail,POINT (-121.841954999 37.2841020000001),Santa Clara,8,,,
Peninsula Corridor Joint Powers Board,College Park Caltrain Station,1,Local Weekday,2,2,2,-121.914599999,37.342384,Rail,POINT (-121.914599999 37.342384),Santa Clara,4,,,
Peninsula Corridor Joint Powers Board,Gilroy Caltrain Station,1,South County,2,4,3,-121.566088,37.003538,Rail,POINT (-121.566088 37.003538),Santa Clara,8,,,
Peninsula Corridor Joint Powers Board,Hayward Park Caltrain Station,1,Local Weekday,2,37,20,-122.309338,37.552938,Rail,POINT (-122.309338 37.552938),San Mateo,75,,Tier 1,
