OBJECTID,stop_id,station_id,location_type,stop_name,agency_id,agency_name,route_short_name,route_type,tod_tier,x,y
1,16995,mtc:powell,0,Metro Powell Station/Outbound,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.40782,37.7843
2,15417,mtc:powell,0,Metro Powell Station/Downtown,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.40709,37.78465
3,70011,mtc:caltrain-4th-&-king,0,San Francisco Caltrain Station Northbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.39499,37.77639
4,70012,mtc:caltrain-4th-&-king,0,San Francisco Caltrain Station Southbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.39494,37.77635
5,70172,mtc:palo-alto-station,0,Palo Alto Caltrain Station Southbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.1647,37.4434
6,70171,mtc:palo-alto-station,0,Palo Alto Caltrain Station Northbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.16466,37.44344
7,16992,mtc:embarcadero-bart,0,Metro Embarcadero Station,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.39682,37.79285
8,16997,mtc:civic-center-bart,0,Metro Civic Center Station/Outbd,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.41422,37.77924
9,15727,mtc:civic-center-bart,0,Metro Civic Center Station/Downtn,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.41335,37.77971
10,16994,mtc:montgomery-bart,0,Metro Montgomery Station/Outbound,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.40213,37.78879
11,15731,mtc:montgomery-bart,0,Metro Montgomery Station/Downtown,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.40135,37.78922
12,64821,mtc:mountain-view-station,0,Mountain View Station,SC,VTA,"Orange Line, OrangeW",0,Tier 2,-122.07683,37.39495
13,64786,mtc:mountain-view-station,0,Mountain View Station,SC,VTA,"Orange Line, OrangeW",0,Tier 2,-122.07759,37.3953
14,70211,mtc:mountain-view-station,0,Mountain View Caltrain Station Northbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.07596,37.39446
15,70212,mtc:mountain-view-station,0,Mountain View Caltrain Station Southbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.07599,37.3944
16,65381,mtc:san-jose-diridon-station,0,Diridon Station,SC,VTA,"Green Line, GreenN, GreenS",0,Tier 2,-121.90357,37.3283
17,65374,mtc:san-jose-diridon-station,0,Diridon Station,SC,VTA,"Green Line, GreenN, GreenS",0,Tier 2,-121.90351,37.32895
18,70262,mtc:san-jose-diridon-station,0,San Jose Diridon Caltrain Station Southbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend, South County",2,Tier 1,-121.90317,37.32923
19,70261,mtc:san-jose-diridon-station,0,San Jose Diridon Caltrain Station Northbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend, South County",2,Tier 1,-121.90301,37.32924
20,70241,mtc:santa-clara-caltrain,0,Santa Clara Caltrain Station Northbound,CT,Caltrain,"Limited, Local Weekday, Local Weekend",2,Tier 1,-121.93608,37.35324
21,70242,mtc:santa-clara-caltrain,0,Santa Clara Caltrain Station Southbound,CT,Caltrain,"Limited, Local Weekday, Local Weekend",2,Tier 1,-121.93613,37.35319
22,17217,mtc:embarcadero-bart,0,Metro Embarcadero Station,SF,San Francisco Municipal Transportation Agency,"J, K, L, M, N",0,Tier 2,-122.39704,37.79277
23,902202,mtc:fruitvale,0,Fruitvale,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Orange-N",1,Tier 1,-122.22407,37.77487
24,902201,mtc:fruitvale,0,Fruitvale,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Orange-S",1,Tier 1,-122.22412,37.77482
25,901902,mtc:daly-city-bart,0,Daly City,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.46885,37.70623
26,901901,mtc:daly-city-bart,0,Daly City,BA,Bay Area Rapid Transit,"Blue-N, Blue-S, Green-N, Green-S",1,Tier 1,-122.46892,37.70626
27,901903,mtc:daly-city-bart,0,Daly City,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.46899,37.7063
28,902802,mtc:union-city-bart,0,Union City,BA,Bay Area Rapid Transit,"Green-S, Orange-N",1,Tier 1,-122.01723,37.59076
29,902801,mtc:union-city-bart,0,Union City,BA,Bay Area Rapid Transit,"Green-N, Orange-S",1,Tier 1,-122.01729,37.59071
30,909201,mtc:warm-springs-south-fremont-bart,0,Warm Springs / South Fremont,BA,Bay Area Rapid Transit,"Green-N, Orange-S",1,Tier 1,-121.93946,37.50227
31,906403,mtc:millbrae-bart,0,Millbrae (Caltrain Transfer Platform),BA,Bay Area Rapid Transit,"Red-N, Red-S, Yellow-N, Yellow-S",1,Tier 1,-122.38684,37.6002
32,902301,mtc:oakland-coliseum-bart,0,Coliseum,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Orange-S",1,Tier 1,-122.19676,37.75356
33,901162,mtc:embarcadero-bart,0,Embarcadero,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.397,37.79269
34,901401,mtc:civic-center-bart,0,Civic Center / UN Plaza,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.41388,37.77945
35,901202,mtc:montgomery-bart,0,Montgomery Street,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.40151,37.78912
36,905301,mtc:dublin-pleasanton-bart,0,Dublin / Pleasanton,BA,Bay Area Rapid Transit,Blue-N,1,Tier 1,-121.89924,37.70161
37,901302,mtc:powell,0,Powell Street,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.40716,37.78457
38,909202,mtc:warm-springs-south-fremont-bart,0,Warm Springs / South Fremont,BA,Bay Area Rapid Transit,"Green-S, Orange-N",1,Tier 1,-121.93936,37.50231
39,902302,mtc:oakland-coliseum-bart,0,Coliseum,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Orange-N",1,Tier 1,-122.1967,37.7536
40,901161,mtc:embarcadero-bart,0,Embarcadero,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.39708,37.79279
41,901402,mtc:civic-center-bart,0,Civic Center / UN Plaza,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.4138,37.77938
42,901201,mtc:montgomery-bart,0,Montgomery Street,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.40164,37.78921
43,905302,mtc:dublin-pleasanton-bart,0,Dublin / Pleasanton,BA,Bay Area Rapid Transit,"Blue-N, Blue-S",1,Tier 1,-121.89924,37.70169
44,901301,mtc:powell,0,Powell Street,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.40738,37.78465
45,900301,mtc:macarthur-bart,0,MacArthur,BA,Bay Area Rapid Transit,"Orange-N, Red-N",1,Tier 1,-122.26698,37.82879
46,900303,mtc:macarthur-bart,0,MacArthur,BA,Bay Area Rapid Transit,Yellow-N,1,Tier 1,-122.26708,37.8288
47,900304,mtc:macarthur-bart,0,MacArthur,BA,Bay Area Rapid Transit,Yellow-S,1,Tier 1,-122.26716,37.82881
48,900302,mtc:macarthur-bart,0,MacArthur,BA,Bay Area Rapid Transit,"Orange-S, Red-S",1,Tier 1,-122.26726,37.82883
51,70062,mtc:millbrae-bart,0,Millbrae Caltrain Station Southbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.38683,37.5998
52,70061,mtc:millbrae-bart,0,Millbrae Caltrain Station Northbound,CT,Caltrain,"Express, Limited, Local Weekday, Local Weekend",2,Tier 1,-122.38671,37.59986
53,909401,mtc:great-mall-milpitas-bart,0,Milpitas,BA,Bay Area Rapid Transit,"Green-N, Orange-S",1,Tier 1,-121.89088,37.40981
54,909402,mtc:great-mall-milpitas-bart,0,Milpitas,BA,Bay Area Rapid Transit,"Green-S, Orange-N",1,Tier 1,-121.8908,37.40984
55,65249,mtc:great-mall-milpitas-bart,0,Milpitas Station,SC,VTA,"Orange Line, OrangeE",0,Tier 2,-121.89136,37.40895
56,65236,mtc:great-mall-milpitas-bart,0,Milpitas Station,SC,VTA,"Orange Line, OrangeE",0,Tier 2,-121.89062,37.40855
57,900102,mtc:12th-st-oakland-city-center-bart,0,12th Street / Oakland City Center,BA,Bay Area Rapid Transit,"Orange-S, Red-S, Yellow-S",1,Tier 1,-122.27159,37.80358
58,900103,mtc:12th-st-oakland-city-center-bart,0,12th Street / Oakland City Center,BA,Bay Area Rapid Transit,Yellow-N,1,Tier 1,-122.27169,37.80351
59,900101,mtc:12th-st-oakland-city-center-bart,0,12th Street / Oakland City Center,BA,Bay Area Rapid Transit,"Orange-N, Red-N",1,Tier 1,-122.27165,37.80347
60,900203,mtc:19th-st-oakland-bart,0,19th Street Oakland,BA,Bay Area Rapid Transit,Yellow-N,1,Tier 1,-122.26882,37.8081
61,900202,mtc:19th-st-oakland-bart,0,19th Street Oakland,BA,Bay Area Rapid Transit,"Orange-S, Red-S, Yellow-S",1,Tier 1,-122.26868,37.80813
62,900201,mtc:19th-st-oakland-bart,0,19th Street Oakland,BA,Bay Area Rapid Transit,"Orange-N, Red-N",1,Tier 1,-122.26872,37.80806
63,902303,mtc:oakland-coliseum-bart,0,Coliseum - OAC,BA,Bay Area Rapid Transit,"Grey-N, Grey-S",1,Tier 1,-122.19627,37.75223
64,901502,901509,0,16th Street / Mission,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.41968,37.76518
65,901501,901509,0,16th Street / Mission,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.41975,37.76518
66,901602,901609,0,24th Street / Mission,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.41845,37.75243
67,901601,901609,0,24th Street / Mission,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.41852,37.75242
68,904102,904109,0,Ashby,BA,Bay Area Rapid Transit,"Orange-S, Red-S",1,Tier 1,-122.26982,37.85309
69,904101,904109,0,Ashby,BA,Bay Area Rapid Transit,"Orange-N, Red-N",1,Tier 1,-122.26975,37.85307
70,901801,901809,0,Balboa Park,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.44751,37.72176
71,901802,901809,0,Balboa Park,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.44743,37.72175
72,902502,902509,0,Bay Fair,BA,Bay Area Rapid Transit,"Blue-N, Blue-S, Green-S, Orange-N",1,Tier 1,-122.12643,37.69694
73,902501,902509,0,Bay Fair,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Orange-S",1,Tier 1,-122.12649,37.69689
74,909502,909509,0,Berryessa / North San Jose,BA,Bay Area Rapid Transit,"Orange-N, Orange-S",1,Tier 1,-121.87466,37.3685
75,909501,909509,0,Berryessa / North San Jose,BA,Bay Area Rapid Transit,"Green-N, Green-S",1,Tier 1,-121.87476,37.36847
78,906101,906109,0,Colma,BA,Bay Area Rapid Transit,"Red-S, Yellow-S",1,Tier 1,-122.46617,37.68464
79,906102,906109,0,Colma,BA,Bay Area Rapid Transit,"Red-N, Yellow-N",1,Tier 1,-122.46612,37.68469
80,904201,904209,0,Downtown Berkeley,BA,Bay Area Rapid Transit,"Orange-N, Red-N",1,Tier 1,-122.26808,37.87012
81,904202,904209,0,Downtown Berkeley,BA,Bay Area Rapid Transit,"Orange-S, Red-S",1,Tier 1,-122.26817,37.87011
82,902901,902909,0,Fremont,BA,Bay Area Rapid Transit,"Green-N, Orange-S",1,Tier 1,-121.97666,37.55746
83,902902,902909,0,Fremont,BA,Bay Area Rapid Transit,"Green-S, Orange-N",1,Tier 1,-121.97661,37.55751
84,901701,901709,0,Glen Park,BA,Bay Area Rapid Transit,"Blue-S, Green-S, Red-S, Yellow-S",1,Tier 1,-122.43356,37.73327
85,901702,901709,0,Glen Park,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Red-N, Yellow-N",1,Tier 1,-122.4335,37.73321
86,902601,902609,0,Hayward,BA,Bay Area Rapid Transit,"Green-N, Orange-S",1,Tier 1,-122.087,37.66968
87,902602,902609,0,Hayward,BA,Bay Area Rapid Transit,"Green-S, Orange-N",1,Tier 1,-122.08694,37.66973
88,902101,902109,0,Lake Merritt,BA,Bay Area Rapid Transit,"Blue-N, Green-N, Orange-S",1,Tier 1,-122.26529,37.7973
