OBJECTID,Agency (Primary),HQTA Type,Stop ID,Route ID,HQTA Details,Agency (Secondary),Agency (Primary) GTFS Feed,Agency (Secondary) GTFS Feed,Average Trips per Peak Hour,Metropolitan Planning Organization,Plan Name,x,y
1,Alameda-Contra Costa Transit District,major_stop_brt,52404,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,6, , ,-122.157569,37.725382
2,Alameda-Contra Costa Transit District,major_stop_brt,52405,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,4.67, , ,-122.157924999,37.72544
3,Alameda-Contra Costa Transit District,major_stop_brt,52414,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,6, , ,-122.158336,37.728129
4,Alameda-Contra Costa Transit District,major_stop_brt,52415,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,4.67, , ,-122.158803,37.7284450000001
5,Alameda-Contra Costa Transit District,major_stop_brt,52426,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,6, , ,-122.160859,37.7315130000001
6,Alameda-Contra Costa Transit District,major_stop_brt,52427,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5, , ,-122.161485,37.7320280000001
7,Alameda-Contra Costa Transit District,major_stop_brt,52428,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,6, , ,-122.164048,37.735711999
8,Alameda-Contra Costa Transit District,major_stop_brt,52429,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5, , ,-122.164004999,37.735617
9,Alameda-Contra Costa Transit District,major_stop_brt,52435,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,6, , ,-122.167784001,37.740733
10,Alameda-Contra Costa Transit District,major_stop_brt,52437,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5, , ,-122.167757,37.740639
11,Alameda-Contra Costa Transit District,major_stop_brt,52462,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5.67, , ,-122.169821,37.743437
12,Alameda-Contra Costa Transit District,major_stop_brt,52464,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5, , ,-122.169794,37.743343
13,Alameda-Contra Costa Transit District,major_stop_brt,52467,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5.67, , ,-122.17176,37.746072
14,Alameda-Contra Costa Transit District,major_stop_brt,52472,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5, , ,-122.171732,37.745979
15,Alameda-Contra Costa Transit District,major_stop_brt,52474,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5.67, , ,-122.174228,37.749397001
16,Alameda-Contra Costa Transit District,major_stop_brt,52475,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5, , ,-122.174198001,37.7493030000001
17,Alameda-Contra Costa Transit District,major_stop_brt,52476,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5.67, , ,-122.176414,37.752353
18,Alameda-Contra Costa Transit District,major_stop_brt,52478,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5, , ,-122.176386,37.752258
19,Alameda-Contra Costa Transit District,major_stop_brt,52482,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5.67, , ,-122.179821,37.7557630000001
20,Alameda-Contra Costa Transit District,major_stop_brt,52484,1T,major_stop_brt_single_operator, ,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1BQw==, ,5.33, , ,-122.179737,37.7556970000001
