OBJECTID,access_id,station_id,access_point_name,location_type,x,y
1,COLS_5,mtc:oakland-coliseum-bart,Snell St Entrance / Exit,2,-122.19678,37.754
2,19TH_3,mtc:19th-st-oakland-bart,A2 20th and Broadway Entrance / Exit,2,-122.26853,37.80881
3,EMBR_2,mtc:embarcadero-bart,A1 Market & Drumm Street (NE) Entrance / Exit,2,-122.39602,37.79368
4,EMBR_1,mtc:embarcadero-bart,B1 Market & Spear Street (SE) Entrance / Exit,2,-122.39583,37.79355
5,EMBR_3,mtc:embarcadero-bart,A2 Market & Davis Street (North) Entrance / Exit,2,-122.397,37.7929
6,MONT_4,mtc:montgomery-bart,B2 Market & 2nd Street (South) Entrance / Exit,2,-122.40104,37.78941
7,EMBR_4,mtc:embarcadero-bart,B2 Market Street & Main Street (South) Entrance / Exit,2,-122.39677,37.7928
8,EMBR_5,mtc:embarcadero-bart,A3 Market Street & Front Street (NW) Entrance / Exit,2,-122.39788,37.79221
9,EMBR_6,mtc:embarcadero-bart,B3 Market Street & Fremont Street (SW) Entrance / Exit,2,-122.39772,37.79205
10,12TH_2,mtc:12th-st-oakland-city-center-bart,A2 13th St and Broadway Entrance / Exit,2,-122.27195,37.80337
11,12TH_1,mtc:12th-st-oakland-city-center-bart,B2 13th St and Broadway Entrance / Exit,2,-122.27172,37.80328
12,12TH_4,mtc:12th-st-oakland-city-center-bart,A3 Oakland City Center Entrance / Exit,2,-122.27185,37.80383
13,12TH_3,mtc:12th-st-oakland-city-center-bart,B3 13th St and Broadway Entrance / Exit,2,-122.27133,37.80391
14,12TH_8,mtc:12th-st-oakland-city-center-bart,B4 14th St and Broadway Entrance / Exit,2,-122.27078,37.80424
15,12TH_7,mtc:12th-st-oakland-city-center-bart,A4 Frank Ogawa Plaza Entrance / Exit,2,-122.27132,37.80478
16,12TH_5,mtc:12th-st-oakland-city-center-bart,A1 12th St and Broadway Entrance / Exit,2,-122.27249,37.80248
17,12TH_6,mtc:12th-st-oakland-city-center-bart,B1 12th St and Broadway Entrance / Exit,2,-122.27226,37.80239
18,COLS_1,mtc:oakland-coliseum-bart,71st Ave Entrance / Exit,2,-122.19668,37.75427
19,COLS_3,mtc:oakland-coliseum-bart,San Leandro Street Entrance / Exit,2,-122.19728,37.75395
20,SFIA_1,mtc:sfo,"SFIA Entrance / Exit, International Terminal, Level 3",2,-122.39267,37.61592
21,MLPT_1,mtc:great-mall-milpitas-bart,West Station Entrance / Exit,2,-121.89121,37.40995
22,19TH_2,mtc:19th-st-oakland-bart,A1 17th and Broaddway Entrance / Exit,2,-122.26981,37.80728
23,19TH_1,mtc:19th-st-oakland-bart,B2 19th and Broadway Entrance / Exit,2,-122.26909,37.80749
24,19TH_5,mtc:19th-st-oakland-bart,B3 19th and Broadway Entrance / Exit,2,-122.26874,37.80809
25,MONT_2,mtc:montgomery-bart,B1 598 Market St (SW) Entrance / Exit,2,-122.40221,37.78851
26,MONT_1,mtc:montgomery-bart,A1 Market & Post Street (NW) Entrance / Exit,2,-122.40218,37.78892
27,MONT_3,mtc:montgomery-bart,A2 Market & Montgomery Street (NE) Entrance / Exit,2,-122.40175,37.78919
28,MONT_7,mtc:montgomery-bart,B3 575 Market St (SE) Entrance / Exit,2,-122.40051,37.78982
29,MONT_5,mtc:montgomery-bart,A3 Sutter Street Entrance / Exit,2,-122.40074,37.78997
30,MONT_6,mtc:montgomery-bart,A4 Sansome Street Entrance / Exit,2,-122.40069,37.79051
31,POWL_8,mtc:powell,B1 Market Street & 5th Street Entrance / Exit,2,-122.40828,37.78371
32,POWL_7,mtc:powell,A1 899 Market St Entrance / Exit,2,-122.40777,37.78458
33,POWL_6,mtc:powell,B2 Market Street & 5th Street (NE) Entrance / Exit,2,-122.4074,37.7844
34,POWL_5,mtc:powell,B3 Market Street & 4th Street (South) Entrance / Exit,2,-122.40627,37.78528
35,POWL_4,mtc:powell,A2 Market Street & Ellis Street Entrance / Exit,2,-122.40644,37.78546
36,POWL_3,mtc:powell,A3 Stockton Street Entrance / Exit,2,-122.40636,37.78583
