pop_23,white_23,B19001_001E_x,hinc_23,mhval_23,mhval_23_se,mrent_23,mrent_23_se,total_25_23,total_25_col_bd_23,total_25_col_md_23,total_25_col_pd_23,state_x,county_x,tract_x,total_25_col_phd_23,tot_units_built_23,units_40_49_built_23,units_39_early_built_23,ohu_23,rhu_23,mmhcosts_23,iinc_23,B19001_001E_y,I_10000_23,I_15000_23,I_20000_23,I_25000_23,I_30000_23,I_35000_23,I_40000_23,I_45000_23,I_50000_23,I_60000_23,I_75000_23,I_100000_23,I_125000_23,I_150000_23,I_200000_23,I_201000_23,mov_wc_w_income_23,mov_wc_9000_23,mov_wc_15000_23,mov_wc_25000_23,mov_wc_35000_23,mov_wc_50000_23,mov_wc_65000_23,mov_wc_75000_23,mov_wc_76000_more_23,mov_oc_w_income_23,mov_oc_9000_23,mov_oc_15000_23,mov_oc_25000_23,mov_oc_35000_23,mov_oc_50000_23,mov_oc_65000_23,mov_oc_75000_23,mov_oc_76000_more_23,mov_os_w_income_23,mov_os_9000_23,mov_os_15000_23,mov_os_25000_23,mov_os_35000_23,mov_os_50000_23,mov_os_65000_23,mov_os_75000_23,mov_os_76000_more_23,mov_fa_w_income_23,mov_fa_9000_23,mov_fa_15000_23,mov_fa_25000_23,mov_fa_35000_23,mov_fa_50000_23,mov_fa_65000_23,mov_fa_75000_23,mov_fa_76000_more_23,FIPS,mhval_19,mhval_19_se,mrent_19,mrent_19_se,mov_wc_w_income_19,mov_wc_9000_19,mov_wc_15000_19,mov_wc_25000_19,mov_wc_35000_19,mov_wc_50000_19,mov_wc_65000_19,mov_wc_75000_19,state_y,county_y,tract_y,mov_wc_76000_more_19,mov_oc_w_income_19,mov_oc_9000_19,mov_oc_15000_19,mov_oc_25000_19,mov_oc_35000_19,mov_oc_50000_19,mov_oc_65000_19,mov_oc_75000_19,mov_oc_76000_more_19,mov_os_w_income_19,mov_os_9000_19,mov_os_15000_19,mov_os_25000_19,mov_os_35000_19,mov_os_50000_19,mov_os_65000_19,mov_os_75000_19,mov_os_76000_more_19,mov_fa_w_income_19,mov_fa_9000_19,mov_fa_15000_19,mov_fa_25000_19,mov_fa_35000_19,mov_fa_50000_19,mov_fa_65000_19,mov_fa_75000_19,mov_fa_76000_more_19,iinc_19
3094,2107,1316,250001,1802100,143377,3501,-333333333,2440,890,616,257,06,001,400100,325,1455,33,75,1207,109,4001,123285,1316,79,0,0,24,15,13,23,0,0,45,8,17,89,94,117,792,59,0,13,0,0,0,0,0,46,105,0,0,38,0,7,0,0,60,39,0,12,0,17,0,0,0,10,10,0,0,0,0,10,0,0,0,06001400100,1197900,68223,3501,-333333333,76,0,0,0,31,0,0,0,06,001,400100,45,106,0,0,0,0,0,0,0,106,77,0,0,0,0,0,0,0,77,25,18,0,0,7,0,0,0,0,93542
2093,1408,861,225880,1930000,172363,2949,487,1710,577,467,230,06,001,400200,162,893,102,605,506,355,3218,110313,861,12,15,8,6,0,0,0,3,4,20,29,54,57,41,131,481,58,0,5,7,0,4,4,16,22,74,0,4,6,0,0,0,4,60,82,3,16,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,06001400200,1385400,191210,2226,225,30,4,0,7,4,0,4,0,06,001,400200,11,39,0,0,0,0,0,22,0,17,32,7,0,0,6,6,6,0,7,20,0,8,4,0,0,0,0,8,91705
5727,3365,2713,157731,1850900,230587,2246,278,4460,1698,1140,531,06,001,400300,234,2897,253,1343,1081,1632,2682,90817,2713,120,96,51,46,72,28,63,0,15,35,170,299,210,130,260,1118,375,38,0,0,0,102,13,0,222,173,0,0,0,12,0,0,0,161,126,0,0,14,38,0,0,0,74,104,8,0,0,0,0,0,0,96,06001400300,1053200,121286,1719,149,280,20,0,0,15,30,0,17,06,001,400300,198,183,17,0,31,14,15,17,39,50,179,38,3,21,14,10,0,19,74,56,3,0,0,0,13,14,0,26,69103
4395,2645,1803,159612,1398400,263483,2485,253,3280,1235,829,307,06,001,400400,276,1996,134,1425,976,827,2568,92569,1803,8,8,91,35,64,9,5,20,0,81,86,78,202,107,298,711,224,0,9,0,0,25,9,0,181,82,0,0,0,0,0,0,0,82,72,34,0,0,11,0,12,0,15,0,0,0,0,0,0,0,0,0,06001400400,1111600,117913,1894,204,138,26,0,0,0,40,8,0,06,001,400400,64,135,36,11,0,0,9,13,9,57,75,5,0,30,0,10,0,0,30,23,12,0,0,0,0,11,0,0,64328
3822,1696,1655,96250,1313500,425242,2154,306,2938,960,761,143,06,001,400500,138,1787,197,1046,784,871,2638,57768,1655,25,36,33,113,14,7,15,32,90,38,297,131,93,130,182,419,304,75,0,10,3,32,10,36,138,89,0,0,18,17,7,0,0,47,67,0,0,7,0,0,0,0,60,0,0,0,0,0,0,0,0,0,06001400500,813800,105558,1792,164,333,13,0,9,47,61,53,7,06,001,400500,143,162,0,10,27,28,41,0,0,56,111,0,0,0,24,44,17,4,22,38,38,0,0,0,0,0,0,0,48750
1957,801,795,134583,1215800,91906,2268,197,1545,495,258,70,06,001,400600,99,814,106,507,357,438,2410,69012,795,42,58,0,0,28,18,0,8,19,5,29,89,74,71,77,277,114,0,0,13,13,0,15,15,58,122,18,0,0,0,10,0,0,94,4,0,0,0,0,0,0,0,4,20,0,0,20,0,0,0,0,0,06001400600,825700,60029,1718,213,187,19,4,18,54,22,19,0,06,001,400600,51,97,0,0,8,6,11,12,2,58,57,35,6,0,0,0,10,0,6,5,0,0,5,0,0,0,0,0,50987
4404,2230,1899,111302,1098200,114395,2185,351,3501,1110,925,161,06,001,400700,118,2185,215,1282,649,1250,2471,58389,1899,61,64,35,98,62,45,9,24,16,130,148,219,217,89,342,340,231,0,0,45,1,0,88,14,83,187,33,25,14,0,42,0,0,73,19,0,0,0,5,0,0,0,14,40,0,0,0,0,0,0,0,40,06001400700,702500,46950,1585,256,319,9,64,131,0,44,23,0,06,001,400700,48,241,16,0,63,31,11,46,20,54,247,26,26,30,30,42,7,10,76,9,0,9,0,0,0,0,0,0,38235
4583,2441,1915,129844,1054000,86061,2228,472,3679,1276,805,105,06,001,400800,209,2020,202,880,733,1182,2411,59789,1915,102,58,125,68,48,16,72,23,8,25,76,255,74,95,389,481,381,66,8,50,9,27,21,40,160,211,38,29,0,0,12,0,31,101,8,0,0,0,8,0,0,0,0,45,0,0,0,0,20,0,0,25,06001400800,697000,47483,1714,389,454,26,9,55,44,77,171,37,06,001,400800,35,137,28,24,0,16,0,10,0,59,64,0,0,0,9,9,12,0,34,73,0,0,73,0,0,0,0,0,41283
2752,959,1127,111131,1101100,40412,2330,250,1968,495,259,36,06,001,400900,86,1317,50,937,389,738,2557,63608,1127,9,123,0,32,9,29,16,0,0,46,97,184,74,84,73,351,176,12,0,0,11,27,0,12,114,81,0,0,10,0,18,0,26,27,62,0,0,28,0,0,21,0,13,21,0,0,0,0,0,11,0,10,06001400900,774700,77036,1544,207,109,12,0,16,13,0,36,0,06,001,400900,32,28,7,0,12,0,0,0,0,9,47,6,0,0,0,29,0,12,0,0,0,0,0,0,0,0,0,0,38375
6529,1985,2522,131845,943700,73919,1955,459,5264,2043,675,184,06,001,401000,94,2768,119,1756,946,1576,2282,56851,2522,127,60,0,0,19,59,94,90,13,189,171,111,250,192,495,652,499,35,1,39,67,89,136,18,114,378,131,0,19,21,70,0,18,119,16,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,06001401000,728800,92237,1767,170,405,5,0,45,68,32,118,11,06,001,401000,126,302,4,0,38,92,36,46,9,77,64,0,0,0,34,0,0,15,15,0,0,0,0,0,0,0,0,0,40250
